ID,TITLE,DESCRIPTION,DURATION,STATUS,DATE PUBLISHED,KEYWORDS,VIDIQ SCORE,VIEWS,YT LIKES,YT COMMENTS,DESC LINK COUNT,DESC WORD COUNT,CREATOR SUGGESTED,ENGAGEMENT RATE
N_Be-f_ivqI,LIVE -ಸಾಂಸ್ಕೃತಿಕ ಕಾರ್ಯಕ್ರಮಗಳು (29-07-2026),,01:58:04,public,7/30/2026,,32.43412408052983,1797,30,3,0,0,-,1
5b1yekxgnNM,LIVE -ಪ್ರಣವ ಮಂಟಪ ಗದ್ದುಗೆಯ ಮಹಾಪೂಜೆ  (29-07-2026),,34:53,public,7/29/2026,,35.537646103152184,3681,104,14,0,0,-,2
Bqoa9W8I3xc,LIVE - ಮಹಾ ಜಪಯೋಗ (29-07-2026),,03:32:20,public,7/29/2026,,38.76217505925354,7754,200,18,0,0,-,2
wI_Aljbs4m0,LIVE -ಸಾಂಸ್ಕೃತಿಕ ಕಾರ್ಯಕ್ರಮಗಳು (29-07-2026),,15:58,public,7/29/2026,,28.71525793051064,761,22,2,0,0,-,2
pf0xz6hpk9E,LIVE -ಸಾಂಸ್ಕೃತಿಕ ಕಾರ್ಯಕ್ರಮಗಳು (29-07-2026),,04:39:35,public,7/29/2026,,33.250437981995525,2170,36,1,0,0,-,1
jYeef-hzHAk,28-07-2026 ಗುರುಪೂರ್ಣಿಮಾ ಮಹೋತ್ಸವದ ನಿಮಿತ್ಯ ಪೂಜ್ಯ ಶ್ರೀ ಮಲ್ಲಿಕಾರ್ಜುನ ಶಿವಯೋಗಿಗಳವರ ಧ್ವನಿ ಸುರುಳಿ ಪ್ರವಚನ,,02:07:15,public,7/29/2026,,38.2401727320775,6873,137,13,0,0,-,2
DSrCAXOEJPU,27-07-2026 ಗುರುಪೂರ್ಣಿಮಾ ಮಹೋತ್ಸವದ ನಿಮಿತ್ಯ ಪೂಜ್ಯ ಶ್ರೀ ಮಲ್ಲಿಕಾರ್ಜುನ ಶಿವಯೋಗಿಗಳವರ ಧ್ವನಿ ಸುರುಳಿ ಪ್ರವಚನ,,01:50:04,public,7/28/2026,,33.03996802027634,2067,53,6,0,0,-,2
LjWxgpCs6As,26-07-2026 ಗುರುಪೂರ್ಣಿಮಾ ಮಹೋತ್ಸವದ ನಿಮಿತ್ಯ ಪೂಜ್ಯ ಶ್ರೀ ಮಲ್ಲಿಕಾರ್ಜುನ ಶಿವಯೋಗಿಗಳವರ ಧ್ವನಿ ಸುರುಳಿ ಪ್ರವಚನ,,01:48:59,public,7/27/2026,,33.49848924793834,2298,44,5,0,0,-,2
MIucGIoLlyc,25-07-2026 ಗುರುಪೂರ್ಣಿಮಾ ಮಹೋತ್ಸವದ ನಿಮಿತ್ಯ ಪೂಜ್ಯ ಶ್ರೀ ಮಲ್ಲಿಕಾರ್ಜುನ ಶಿವಯೋಗಿಗಳವರ ಧ್ವನಿ ಸುರುಳಿ ಪ್ರವಚನ,"Jnanayogashram, Vijayapur",01:45:34,public,7/26/2026,,33.0816446554795,2087,55,3,0,2,-,2
3vhOJsx2QBk,ಗುರುಪೂರ್ಣಿಮಾ ಮಹೋತ್ಸವಕ್ಕೆ ಸರ್ವರಿಗೂ ಹಾರ್ದಿಕ ಸ್ವಾಗತ,,00:45,public,7/25/2026,,33.64113539431702,2375,60,5,0,0,-,2
UtZ2QM1oSlk,24-07-2026 ಗುರುಪೂರ್ಣಿಮಾ ಮಹೋತ್ಸವದ ನಿಮಿತ್ಯ ಪೂಜ್ಯ ಶ್ರೀ ಮಲ್ಲಿಕಾರ್ಜುನ ಶಿವಯೋಗಿಗಳವರ ಧ್ವನಿ ಸುರುಳಿ ಪ್ರವಚನ,"Jnanayogashram, Vijayapur",01:36:03,public,7/25/2026,,32.44374739771883,1801,48,1,0,2,-,2
hvfX2Yzt_ts,24-07-2026 ಗುರುಪೂರ್ಣಿಮಾ ಮಹೋತ್ಸವದ ನಿಮಿತ್ಯ ಪೂಜ್ಯ ಶ್ರೀ ಮಲ್ಲಿಕಾರ್ಜುನ ಶಿವಯೋಗಿಗಳವರ ಧ್ವನಿ ಸುರುಳಿ ಪ್ರವಚನ,"Jnanayogashram, Vijayapur",01:19:45,public,7/24/2026,,29.309513530888324,873,19,3,0,2,-,2
